time,milliAmpere_x, milliAmpere_y, milliAmpere_h,V2_y,V2_x,V2_h,V3_y,V3_x,V3_h,V4_y,V4_x,V4_h,V5_y,V5_x,V5_h,V6_y,V6_x,V6_h,V7_y,V7_x,V7_h,V8_y,V8_x,V8_h,V9_y,V9_x,V9_h,V10_y,V10_x,V10_h,V11_y,V11_x,V11_h,V12_y,V12_x,V12_h,V13_y,V13_x,V13_h,V14_y,V14_x,V14_h,V15_y,V15_x,V15_h,V16_y,V16_x,V16_h,V17_y,V17_x,V17_h,V18_y,V18_x,V18_h,V19_y,V19_x,V19_h,V20_y,V20_x,V20_h,V21_y,V21_x,V21_h,V22_y,V22_x,V22_h,V23_y,V23_x,V23_h,V24_y,V24_x,V24_h,V25_y,V25_x,V25_h,V26_y,V26_x,V26_h,V27_y,V27_x,V27_h,V28_y,V28_x,V28_h,V29_y,V29_x,V29_h,V30_y,V30_x,V30_h,V31_y,V31_x,V31_h
0.0,-40.0,-75.0,90.0,-9.0,-53.0,359.9777130656439,-48.0,-89.0,180.0116696150523,-23.0,-60.0,224.98885653282196,-44.0,-111.0,405.0121957629266,-19.0,-39.0,359.9777130656439,31.0,-25.0,180.0116696150523,6.0,-83.0,180.0116696150523,59.0,-50.0,180.0116696150523,12.0,-17.0,180.0116696150523,-105.0,-113.0,180.0116696150523,45.0,-50.0,180.0116696150523,-62.0,-97.0,180.0116696150523,25.0,-30.0,224.98885653282196,-30.0,-30.0,315.0005261478743,40.0,-45.0,405.0121957629266,15.0,-60.0,270.0233392301046,10.0,-5.0,90.0,90.0,-15.0,134.97718691776964,70.0,-25.0,180.0116696150523,50.0,-25.0,359.9777130656439,10.0,-39.0,224.98885653282196,-20.0,-69.0,315.0005261478743,65.0,-30.0,405.0121957629266,-25.0,-95.0,270.0233392301046,20.0,-10.0,90.0,-25.0,-20.0,134.97718691776964,-30.0,-65.0,180.0116696150523,-5.0,-80.0,359.9777130656439,20.0,-40.0,224.98885653282196,-35.0,-55.0,315.0005261478743
0.1,-39.95,-75.0,90.11459155902617,-9.0,-52.849999999999994,359.9777130656439,-48.0,-89.15,180.0116696150523,-23.070999999999998,-60.071,225.5045185484397,-43.894000000000005,-110.894,405.0121957629266,-19.0,-38.9,360.49337508126166,31.0,-25.1,179.4960075994346,6.0,-83.15,180.0116696150523,59.0,-50.099999999999994,179.4960075994346,12.0,-17.15,180.0116696150523,-105.0,-113.15,180.0116696150523,45.0,-50.099999999999994,180.47003585115698,-62.0,-97.15,180.0116696150523,24.929000000000002,-30.070999999999998,225.5045185484397,-30.070999999999998,-29.929000000000002,315.45889238397893,40.105999999999995,-44.894,405.0121957629266,14.849999999999994,-60.0,270.0233392301046,10.099999999999994,-5.0,449.53101644459156,90.106,-15.106000000000002,134.97718691776964,70.0,-25.0,180.0116696150523,50.0,-24.85,359.9777130656439,9.894000000000005,-39.106,224.98885653282196,-20.070999999999998,-68.929,315.45889238397893,65.071,-29.929000000000002,405.0121957629266,-25.150000000000006,-95.0,270.0233392301046,20.150000000000006,-10.0,90.0,-24.929000000000002,-20.070999999999998,134.51882068166498,-30.0,-65.1,179.4960075994346,-5.0,-79.85,359.9777130656439,19.929000000000002,-40.071,224.5304902967173,-35.071,-54.929,315.45889238397893
0.2,-39.861999999999995,-75.0,90.28647889756542,-9.0,-52.625,361.06633287639244,-48.0,-89.375,181.1002894258009,-23.144999999999996,-60.144000000000005,226.30665946162284,-43.735,-110.735,406.1008155736752,-18.998999999999995,-38.733,360.8944455378532,31.001000000000005,-25.255000000000003,179.1522329223561,6.0,-83.375,181.1002894258009,59.001000000000005,-50.254999999999995,179.1522329223561,12.0,-17.375,181.1002894258009,-105.0,-113.375,181.1002894258009,44.998999999999995,-50.251000000000005,181.67324722093173,-62.0,-97.375,180.0116696150523,24.820999999999998,-30.177999999999997,225.84829322551818,-30.155,-29.844,315.22970926592666,40.264999999999986,-44.735,406.1008155736752,14.625,-60.0,270.0233392301046,10.251000000000005,-4.998999999999999,449.87479112167006,90.26499999999999,-15.265,133.88856710702106,70.0,-25.0,180.0116696150523,50.0,-24.625,359.9777130656439,9.735000000000014,-39.265,223.9002367220734,-20.147000000000006,-68.853,315.22970926592666,65.106,-29.894,405.1840831014659,-25.375,-95.0,268.9347194193561,20.375,-10.0,90.0,-24.810000000000002,-20.189,134.1177502250734,-29.998999999999995,-65.25,179.8397822765131,-5.0,-79.625,359.9777130656439,19.817000000000007,-40.184,224.12941984012573,-35.153999999999996,-54.845,316.43292063570135
0.3,-39.721000000000004,-75.001,90.45836623610465,-8.998000000000005,-52.400999999999996,361.63929067152327,-48.001999999999995,-89.599,180.58462741018315,-23.260000000000005,-60.256,227.8536455084761,-43.57299999999999,-110.577,406.6164775892929,-18.997,-38.5,361.1236286559056,31.002999999999986,-25.482,178.9230498043038,5.9979999999999905,-83.601,181.61595144141864,59.002999999999986,-50.483000000000004,178.8657540247907,11.99799999999999,-17.598999999999997,181.61595144141864,-105.002,-113.602,180.58462741018315,44.99600000000001,-50.441,183.50671216535034,-62.0,-97.638,180.0116696150523,24.658999999999992,-30.336,226.0774763435705,-30.266999999999996,-29.731,315.7453712815444,40.43000000000001,-44.573,405.52785777854433,14.361999999999995,-60.0,270.0233392301046,10.419999999999987,-4.998000000000001,449.24453754702614,90.43,-15.427,133.3729050914033,70.0,-25.0,180.0116696150523,50.0,-24.362000000000002,359.9777130656439,9.574999999999989,-39.428,222.12406755716782,-20.253,-68.745,315.7453712815444,65.088,-29.912,405.298674660492,-25.604,-95.002,268.3617616242253,20.638000000000005,-10.0,90.0,-24.643,-20.353,133.83127132750798,-29.998999999999995,-65.408,179.32412026089534,-5.0,-79.362,359.9777130656439,19.65700000000001,-40.348,223.9002367220734,-35.271,-54.724999999999994,318.0372024620676
0.4,-39.540000000000006,-75.002,91.03132403123548,-8.992000000000004,-52.138999999999996,361.92576956908874,-48.004999999999995,-89.83,180.29814851261773,-23.381,-60.367999999999995,229.62981467338162,-43.382999999999996,-110.395,406.90295648685833,-18.992000000000004,-38.233,362.6133189232457,31.00800000000001,-25.746000000000002,177.43335953696362,5.99199999999999,-83.864,181.90243033898406,59.00800000000001,-50.747,177.43335953696362,11.99199999999999,-17.862000000000002,181.90243033898406,-105.005,-113.83099999999999,180.29814851261773,44.98599999999999,-50.649,185.74124756636058,-62.0,-97.919,180.0116696150523,24.47,-30.519,227.56716661091065,-30.373999999999995,-29.622,315.34430082495277,40.581999999999994,-44.425,405.298674660492,14.080999999999989,-60.0,270.0233392301046,10.608000000000004,-4.997,449.81749534215703,90.62299999999999,-15.611,133.0864261938379,70.0,-25.0,180.0116696150523,50.0,-24.081000000000003,359.9777130656439,9.423000000000002,-39.591,219.94682793567068,-20.361000000000004,-68.635,315.34430082495277,65.04400000000001,-29.956000000000003,405.64244933757055,-25.867999999999995,-95.008,268.0752827266599,20.91900000000001,-10.0,90.0,-24.450000000000003,-20.537999999999997,132.39887683968092,-29.997,-65.587,179.8397822765131,-5.0,-79.081,359.9777130656439,19.47200000000001,-40.539,222.41054645473326,-35.397999999999996,-54.587,320.04255474502554
0.5,-39.369,-75.004,91.48969026734014,-8.983000000000004,-51.858000000000004,363.47275561594194,-48.007000000000005,-90.095,180.12626117407848,-23.510999999999996,-60.482,231.57787117682642,-43.178,-110.202,408.4499425337115,-18.983999999999995,-38.004,363.2435724978896,31.014999999999986,-25.959000000000003,176.8604017418328,5.983000000000004,-84.145,183.44941638583725,59.014999999999986,-50.958,176.8604017418328,11.983000000000004,-18.142000000000003,183.44941638583725,-105.007,-114.096,180.12626117407848,44.968999999999994,-50.866,188.14767030591003,-62.0,-98.209,180.0116696150523,24.318000000000012,-30.662,228.0828286265284,-30.494,-29.5,315.8599628405706,40.764999999999986,-44.245,405.1840831014659,13.790999999999997,-60.0,268.59094474227754,10.793000000000006,-4.995999999999999,449.24453754702614,90.82900000000001,-15.805,131.4821443674716,70.0,-25.0,180.0116696150523,50.0,-23.790999999999997,359.9777130656439,9.278999999999996,-39.756,217.6549967551474,-20.471000000000004,-68.523,315.80266706105743,64.98599999999999,-30.012999999999998,406.15811135318825,-26.150000000000006,-95.017,266.52829667980666,21.209000000000003,-10.0,90.0,-24.281999999999996,-20.695999999999998,131.768623265037,-29.995999999999995,-65.757,179.26682448138226,-5.0,-78.791,359.9777130656439,19.320999999999998,-40.7,221.83758865960243,-35.527,-54.438,322.21979436652265
0.6,-39.166,-75.008,91.83346494441864,-8.971000000000004,-51.604,364.16030497009893,-48.009,-90.378,181.4440641028794,-23.647999999999996,-60.595,233.5832234597843,-42.991,-110.031,409.1374918878685,-18.971000000000004,-37.74,363.5873471749681,31.026999999999987,-26.216,176.51662706475432,5.971000000000004,-84.397,184.13696573999425,59.02699999999999,-51.212999999999994,176.57392284426737,11.971000000000004,-18.393,184.13696573999425,-105.009,-114.37799999999999,181.4440641028794,44.94200000000001,-51.087,190.72598038399872,-62.0,-98.505,180.0116696150523,24.129999999999995,-30.832,228.4266033036069,-30.602999999999994,-29.389000000000003,315.40159660446585,40.96199999999999,-44.05,406.44459025075366,13.52600000000001,-60.003,267.9606911676337,10.991000000000014,-4.994,449.81749534215703,91.02099999999999,-15.979,130.79459501331462,70.0,-25.0,180.0116696150523,50.0,-23.494999999999997,359.9777130656439,9.140999999999991,-39.928,215.19127823608488,-20.581999999999994,-68.409,315.34430082495277,64.92099999999999,-30.076,406.7310691483191,-26.405,-95.029,267.04395869542435,21.504999999999995,-10.0,90.0,-24.084999999999994,-20.874000000000002,131.4248485879585,-29.994,-65.941,179.8397822765131,-5.0,-78.495,359.9777130656439,19.14699999999999,-40.893,221.49381398252393,-35.655,-54.28,324.56892132655906
0.7,-38.93899999999999,-75.015,92.69290163711487,-8.953000000000003,-51.328,364.50407964717743,-48.012,-90.628,180.81381052823548,-23.795,-60.708,235.76046308128144,-42.782,-109.849,409.481266564947,-18.953999999999994,-37.459,365.1343332218213,31.043000000000006,-26.494,174.9696410179011,5.953000000000003,-84.672,184.48074041707275,59.043000000000006,-51.489999999999995,174.9696410179011,11.953000000000003,-18.667,184.48074041707275,-105.012,-114.632,180.81381052823548,44.905,-51.30800000000001,193.36158624160052,-62.0,-98.802,180.0116696150523,23.923000000000002,-31.017000000000003,229.97358935046012,-30.721999999999994,-29.267000000000003,315.9172586200836,41.14699999999999,-43.87,408.3926467541985,13.244,-60.012,267.67421227006827,11.181000000000012,-4.992000000000001,449.24453754702614,91.231,-16.163,130.45082033623612,70.0,-25.0,180.0116696150523,50.0,-23.198,359.9777130656439,9.010999999999996,-40.104,215.19127823608488,-20.689999999999998,-68.3,315.80266706105743,64.852,-30.141,407.361322722963,-26.653000000000006,-95.043,267.2731418134767,21.801999999999992,-10.0,90.0,-23.873000000000005,-21.061999999999998,129.8205667615922,-29.992999999999995,-66.12,179.26682448138226,-5.0,-78.198,359.9777130656439,18.961000000000013,-41.102,219.94682793567068,-35.778000000000006,-54.114000000000004,326.9753440661085
0.8,-38.739999999999995,-75.023,93.26585943224569,-8.930999999999997,-51.041,366.1083614735437,-48.016999999999996,-90.873,181.67324722093173,-23.944999999999993,-60.81399999999999,237.93770270277855,-42.56399999999999,-109.661,411.14284417082644,-18.936999999999998,-37.229,365.7645867964652,31.061000000000007,-26.732999999999997,174.33938744325718,5.931000000000012,-84.959,186.08502224343906,59.059,-51.70399999999999,174.39668322277026,11.931000000000012,-18.954,186.08502224343906,-105.017,-114.87799999999999,180.47003585115698,44.857,-51.532,196.05448787871538,-62.0,-99.101,180.0116696150523,23.760999999999996,-31.156,230.54654714559092,-30.826999999999998,-29.159,316.9485826513191,41.32400000000001,-43.707,410.68447793472177,12.953000000000003,-60.022999999999996,267.5023249315291,11.381,-4.991,449.87479112167006,91.451,-16.352,128.84653850986982,70.0,-25.0,180.0116696150523,50.0,-22.899,359.9777130656439,8.887,-40.281,215.19127823608488,-20.802000000000007,-68.185,315.2870050454397,64.78,-30.208,408.04887207712,-26.926000000000002,-95.057,267.38773337250285,22.101,-10.0,90.0,-23.695999999999998,-21.214,129.19031318694832,-29.992000000000004,-66.301,179.8397822765131,-5.0,-77.899,359.9777130656439,18.811000000000007,-41.276,219.31657436102682,-35.896,-53.94,329.43906258517103
0.9,-38.516000000000005,-75.035,93.72422566835036,-8.906999999999996,-50.782,365.59269945792596,-48.022000000000006,-91.114,180.92840208726165,-24.102000000000004,-60.917,240.1149423242757,-42.370999999999995,-109.502,411.7730977454703,-18.912000000000006,-36.965,366.1083614735437,31.086000000000013,-27.002000000000002,173.99561276617868,5.907000000000011,-85.217,186.8298673771091,59.083,-51.961,174.05290854569176,11.907999999999987,-19.21,186.77257159759603,-105.02,-115.15199999999999,180.29814851261773,44.79900000000001,-51.754999999999995,198.74738951583026,-62.0,-99.401,180.0116696150523,23.563999999999993,-31.320999999999998,230.89032182266942,-30.941999999999993,-29.037999999999997,316.7193995332667,41.504999999999995,-43.552,413.2054922332974,12.657999999999987,-60.035,267.38773337250285,11.573000000000008,-4.989000000000001,449.24453754702614,91.65299999999999,-16.519,128.15898915571285,70.0,-25.0,180.0116696150523,50.0,-22.598999999999997,359.9777130656439,8.738,-40.492,215.19127823608488,-20.905,-68.08,315.7453712815444,64.707,-30.274,408.6791256517639,-27.212999999999994,-95.07,266.1272262232151,22.40100000000001,-10.0,90.0,-23.489999999999995,-21.383000000000003,128.84653850986982,-29.989999999999995,-66.489,179.26682448138226,-5.0,-77.599,359.9777130656439,18.643,-41.479,218.97279968394832,-36.009,-53.759,331.96007688374664
